ID,Prediction,Probability
1811,ANTAGONIST,0.38461538461538464
1812,ANTAGONIST,0.36363636363636365
1813,AGONIST,0.8181818181818182
1814,AGONIST,0.6153846153846154
1815,AGONIST,0.8571428571428571
1816,AGONIST,0.8
1817,AGONIST,0.8571428571428571
1818,AGONIST,0.7058823529411765
1819,AGONIST,0.8333333333333334
1820,AGONIST,0.6428571428571429
1821,AGONIST,0.7368421052631579
1822,ANTAGONIST,0.46153846153846156
1823,AGONIST,0.5384615384615384
1824,AGONIST,0.5384615384615384
1825,ANTAGONIST,0.2
1826,AGONIST,0.9090909090909091
1827,AGONIST,0.5454545454545454
1828,AGONIST,0.7142857142857143
1829,ANTAGONIST,0.4
1830,AGONIST,0.5833333333333334
1831,AGONIST,0.5714285714285714
1832,ANTAGONIST,0.5
1833,ANTAGONIST,0.5
1834,AGONIST,0.7
1835,ANTAGONIST,0.4
1836,ANTAGONIST,0.375
1837,AGONIST,0.8333333333333334
1838,ANTAGONIST,0.5
1839,AGONIST,0.6
1840,AGONIST,0.8333333333333334
1841,AGONIST,0.6
1842,AGONIST,0.5384615384615384
1843,AGONIST,0.6363636363636364
1844,AGONIST,0.6
1845,AGONIST,0.7142857142857143
1846,AGONIST,0.7142857142857143
1847,ANTAGONIST,0.38461538461538464
1848,ANTAGONIST,0.4444444444444444
1849,AGONIST,0.5714285714285714
1850,AGONIST,0.5238095238095238
1851,AGONIST,0.8
1852,ANTAGONIST,0.2
1853,AGONIST,1.0
1854,AGONIST,1.0
1855,ANTAGONIST,0.3333333333333333
1856,ANTAGONIST,0.42857142857142855
1857,AGONIST,1.0
1858,ANTAGONIST,0.4
1859,AGONIST,1.0
1860,AGONIST,0.8571428571428571
1861,AGONIST,1.0
1862,ANTAGONIST,0.0
1863,AGONIST,1.0
1864,AGONIST,1.0
1865,AGONIST,1.0
1866,AGONIST,0.75
1867,AGONIST,0.5833333333333334
1868,AGONIST,0.8
1869,ANTAGONIST,0.5
1870,AGONIST,0.75
1871,AGONIST,0.75
1872,AGONIST,0.5714285714285714
1873,AGONIST,0.5555555555555556
1874,AGONIST,0.5555555555555556
1875,AGONIST,0.8181818181818182
1876,AGONIST,0.8181818181818182
1877,AGONIST,0.7
1878,AGONIST,0.6
1879,AGONIST,0.6666666666666666
1880,AGONIST,0.6875
1881,ANTAGONIST,0.4444444444444444
1882,ANTAGONIST,0.15384615384615385
1883,AGONIST,0.8181818181818182
